ID	Stromal_score	Immune_score	ESTIMATE_score
TCGA-3N-A9WB-06	-1410.09	-949.78	-2359.87
TCGA-3N-A9WC-06	-211.68	1698.19	1486.51
TCGA-3N-A9WD-06	-716.64	753.15	36.5
TCGA-BF-A1PU-01	-616.5	-1187.93	-1804.43
TCGA-BF-A1PV-01	-1112.66	-1146.01	-2258.67
TCGA-BF-A1PX-01	389.58	1849.02	2238.6
TCGA-BF-A1PZ-01	-1216.78	-435.69	-1652.47
TCGA-BF-A1Q0-01	-975.43	120.64	-854.79
TCGA-BF-A3DJ-01	-237.16	766.83	529.67
TCGA-BF-A3DL-01	-437.21	-330.56	-767.77
TCGA-BF-A3DM-01	-978.65	-924.44	-1903.09
TCGA-BF-A3DN-01	42.68	-596.94	-554.26
TCGA-BF-A5EO-01	-625.06	548.53	-76.53
TCGA-BF-A5EP-01	-803.28	-729.82	-1533.1
TCGA-BF-A5EQ-01	243.92	588.43	832.34
TCGA-BF-A5ER-01	-789.6	-429.62	-1219.22
TCGA-BF-A5ES-01	-283.82	423.47	139.66
TCGA-BF-A9VF-01	-1453.13	-737.86	-2190.98
TCGA-BF-AAOU-01	-483.62	187.92	-295.7
TCGA-BF-AAOX-01	-1414.73	-609.32	-2024.06
TCGA-BF-AAP0-06	437.22	2232.21	2669.43
TCGA-BF-AAP1-01	-1187.27	-847.68	-2034.94
TCGA-BF-AAP2-01	-1017.78	156.92	-860.87
TCGA-BF-AAP4-01	-457.65	861.77	404.12
TCGA-BF-AAP6-01	-861.54	-484.48	-1346.02
TCGA-BF-AAP7-01	244.35	1706.21	1950.56
TCGA-BF-AAP8-01	-856.25	-331.93	-1188.18
TCGA-D3-A1Q1-06	-931.57	-1050.64	-1982.21
TCGA-D3-A1Q3-06	-541.78	848.43	306.66
TCGA-D3-A1Q4-06	1336.34	-68.95	1267.39
TCGA-D3-A1Q5-06	-259.89	-1275.56	-1535.45
TCGA-D3-A1Q6-06	-1160.14	-104.51	-1264.65
TCGA-D3-A1Q7-06	887.92	2378.16	3266.08
TCGA-D3-A1Q8-06	869.18	682.43	1551.61
TCGA-D3-A1Q9-06	-479.26	212.95	-266.31
TCGA-D3-A1QA-07	-1033.24	122.5	-910.74
TCGA-D3-A1QA-06	-884.17	-203.81	-1087.97
TCGA-D3-A1QB-06	-200.67	2099.7	1899.03
TCGA-D3-A2J6-06	-740.54	420.59	-319.95
TCGA-D3-A2J7-06	107.63	727.71	835.34
TCGA-D3-A2J8-06	146.26	2334.11	2480.36
TCGA-D3-A2J9-06	341.82	3013.99	3355.82
TCGA-D3-A2JA-06	819.69	1285.95	2105.65
TCGA-D3-A2JB-06	-320.91	2380.01	2059.1
TCGA-D3-A2JC-06	-264.16	970.51	706.35
TCGA-D3-A2JD-06	-87.72	1164.54	1076.83
TCGA-D3-A2JE-06	-1261.17	-1148.59	-2409.76
TCGA-D3-A2JF-06	-224.05	1304.3	1080.25
TCGA-D3-A2JG-06	-931.49	-352.92	-1284.4
TCGA-D3-A2JH-06	-129.65	2040.09	1910.45
TCGA-D3-A2JK-06	-57.44	431.6	374.16
TCGA-D3-A2JL-06	-710.42	1424.48	714.07
TCGA-D3-A2JN-06	277.72	962.98	1240.7
TCGA-D3-A2JO-06	-290.94	1969.27	1678.34
TCGA-D3-A2JP-06	60.9	1124.42	1185.32
TCGA-D3-A3BZ-06	1290.73	1666.9	2957.63
TCGA-D3-A3C1-06	-637.25	403.91	-233.34
TCGA-D3-A3C3-06	-847.85	851.52	3.67
TCGA-D3-A3C6-06	-413.04	-787.9	-1200.93
TCGA-D3-A3C7-06	-189.13	1200.87	1011.73
TCGA-D3-A3C8-06	694.93	3428.5	4123.43
TCGA-D3-A3CB-06	296.55	2706.16	3002.71
TCGA-D3-A3CC-06	-144.06	-195.69	-339.76
TCGA-D3-A3CE-06	155.93	1236.05	1391.98
TCGA-D3-A3CF-06	217.32	1754.76	1972.07
TCGA-D3-A3ML-06	-1552.78	-1278.78	-2831.56
TCGA-D3-A3MO-06	-683.95	-785.67	-1469.62
TCGA-D3-A3MR-06	115	2057.29	2172.29
TCGA-D3-A3MU-06	112.43	370.01	482.44
TCGA-D3-A3MV-06	-618.11	-509.31	-1127.42
TCGA-D3-A51E-06	-720.36	1100.99	380.63
TCGA-D3-A51F-06	1127.91	3254.57	4382.48
TCGA-D3-A51G-06	-134.29	-112.91	-247.19
TCGA-D3-A51H-06	-8.62	3114.41	3105.8
TCGA-D3-A51J-06	72.46	1958.35	2030.82
TCGA-D3-A51K-06	-869.99	748.66	-121.33
TCGA-D3-A51N-06	-316.4	1132.79	816.39
TCGA-D3-A51R-06	-864.35	-1853.02	-2717.36
TCGA-D3-A51T-06	-974.64	354.03	-620.62
TCGA-D3-A5GL-06	-987.5	-549.69	-1537.19
TCGA-D3-A5GN-06	-54.62	297.37	242.76
TCGA-D3-A5GO-06	-393.4	875.72	482.32
TCGA-D3-A5GR-06	97.3	1308.47	1405.77
TCGA-D3-A5GS-06	28.66	725.38	754.04
TCGA-D3-A5GT-01	-1364.63	-928.88	-2293.51
TCGA-D3-A5GU-06	-385.29	454.58	69.29
TCGA-D3-A8GB-06	807.99	1950.67	2758.66
TCGA-D3-A8GC-06	-1053.16	-40.18	-1093.34
TCGA-D3-A8GD-06	-310.87	2664.88	2354
TCGA-D3-A8GE-06	897.2	985.24	1882.43
TCGA-D3-A8GI-06	190.18	24.03	214.21
TCGA-D3-A8GJ-06	-242.06	2337.23	2095.17
TCGA-D3-A8GK-06	-1668.24	-1090.31	-2758.55
TCGA-D3-A8GL-06	-1258.81	-1332.34	-2591.15
TCGA-D3-A8GM-06	-468.59	424.79	-43.8
TCGA-D3-A8GN-06	-289.33	1317.42	1028.1
TCGA-D3-A8GO-06	-553.57	943.35	389.78
TCGA-D3-A8GP-06	-1344.95	-701.88	-2046.84
TCGA-D3-A8GQ-06	-639.91	-408.22	-1048.14
TCGA-D3-A8GR-06	-1102.27	-463.2	-1565.47
TCGA-D3-A8GS-06	-926.93	1728.45	801.52
TCGA-D3-A8GV-06	-1042.43	-505.1	-1547.53
TCGA-D9-A148-06	-675.01	237	-438.01
TCGA-D9-A149-06	-346.64	873.32	526.68
TCGA-D9-A1JW-06	-451.48	1396.13	944.65
TCGA-D9-A1JX-06	-323.16	1067.35	744.19
TCGA-D9-A1X3-06	-882.21	-1116.87	-1999.08
TCGA-D9-A3Z1-06	-300.37	1636.49	1336.12
TCGA-D9-A3Z3-06	69.32	1107.47	1176.79
TCGA-D9-A3Z4-01	-153.94	575.44	421.5
TCGA-D9-A4Z2-01	-286.22	-431.42	-717.63
TCGA-D9-A4Z3-01	-655.87	-216.88	-872.75
TCGA-D9-A4Z5-01	-200.2	-88.87	-289.07
TCGA-D9-A4Z6-06	-689.95	-664.66	-1354.61
TCGA-D9-A6E9-06	65.57	2613.38	2678.95
TCGA-D9-A6EA-06	-1417.23	-478.83	-1896.07
TCGA-D9-A6EC-06	-1420.92	-481.01	-1901.93
TCGA-D9-A6EG-06	-537.19	-785.66	-1322.86
TCGA-DA-A1HV-06	-627.89	1547.11	919.21
TCGA-DA-A1HW-06	-288.37	1490.89	1202.52
TCGA-DA-A1HY-06	-118.22	-432.28	-550.5
TCGA-DA-A1I0-06	-251.62	1054.37	802.75
TCGA-DA-A1I1-06	334.99	1177.65	1512.64
TCGA-DA-A1I2-06	-310.23	104.87	-205.36
TCGA-DA-A1I4-06	733.05	1196.24	1929.29
TCGA-DA-A1I5-06	490.4	1795.93	2286.33
TCGA-DA-A1I7-06	247.12	57.72	304.84
TCGA-DA-A1I8-06	-589.98	98.65	-491.33
TCGA-DA-A1IA-06	-1407.12	-458.06	-1865.18
TCGA-DA-A1IB-06	418.66	3258.1	3676.76
TCGA-DA-A1IC-06	-360.42	28.72	-331.7
TCGA-DA-A3F2-06	1879.32	3222.92	5102.24
TCGA-DA-A3F3-06	-817.4	-352.64	-1170.04
TCGA-DA-A3F5-06	-813.06	-293.06	-1106.12
TCGA-DA-A3F8-06	155.68	2732.17	2887.85
TCGA-DA-A95V-06	-591.23	946.39	355.16
TCGA-DA-A95W-06	-1083.53	-5.82	-1089.35
TCGA-DA-A95X-06	-432.13	234.08	-198.04
TCGA-DA-A95Y-06	-1307.9	-372.76	-1680.66
TCGA-DA-A95Z-06	-1190.87	-272.26	-1463.13
TCGA-DA-A960-01	-1430.8	-561.77	-1992.57
TCGA-EB-A1NK-01	-330.27	53.64	-276.63
TCGA-EB-A24C-01	-524.25	-697.06	-1221.32
TCGA-EB-A24D-01	-644.7	-199.64	-844.34
TCGA-EB-A299-01	-344.18	65.46	-278.73
TCGA-EB-A3HV-01	76.79	232.7	309.49
TCGA-EB-A3XB-01	-643.74	236.77	-406.97
TCGA-EB-A3XC-01	-580.7	19.33	-561.36
TCGA-EB-A3XD-01	543.25	1206.98	1750.23
TCGA-EB-A3XE-01	-239.79	348.28	108.49
TCGA-EB-A3XF-01	-661.59	472.65	-188.94
TCGA-EB-A3Y6-01	-21.98	-29.15	-51.13
TCGA-EB-A3Y7-01	-1020.79	-345.33	-1366.11
TCGA-EB-A41A-01	-1225.56	-470.65	-1696.21
TCGA-EB-A41B-01	-1521.86	-507.03	-2028.89
TCGA-EB-A42Y-01	-411.56	-257.41	-668.96
TCGA-EB-A42Z-01	-439.14	-80.01	-519.15
TCGA-EB-A430-01	-1320.43	-63.92	-1384.35
TCGA-EB-A431-01	-1230.02	-561.23	-1791.25
TCGA-EB-A44N-01	-228.98	478.42	249.44
TCGA-EB-A44O-01	-1233.94	-608.64	-1842.58
TCGA-EB-A44P-01	-891.37	-327.76	-1219.13
TCGA-EB-A44Q-06	-468.18	1605.84	1137.66
TCGA-EB-A44R-06	-319.86	276.66	-43.19
TCGA-EB-A4IQ-01	-1248.95	-585.11	-1834.06
TCGA-EB-A4IS-01	238.47	1648.18	1886.65
TCGA-EB-A4OY-01	-905.09	250.28	-654.81
TCGA-EB-A4OZ-01	-155.05	1791.31	1636.26
TCGA-EB-A4P0-01	-551.76	-128.79	-680.55
TCGA-EB-A4XL-01	-316.35	307.53	-8.82
TCGA-EB-A51B-01	-1488.31	-149.51	-1637.82
TCGA-EB-A550-01	-727.73	-401.12	-1128.85
TCGA-EB-A551-01	129.27	1794.55	1923.82
